channel_url,channelTitle,subscriberCount,uploads,avgViewCount,avgCommentCount,membersCount_1m,membersAvgLike_1m,membersAvgComment_1m,membersCount_2m,membersAvgLike_2m,membersAvgComment_2m
https://www.youtube.com/channel/UCWkTi_Nv_TA9RY4lORSSlUA,LiLY-歌い手Vsinger,40900,2,3566.50,2.50,1,41.00,0.00,2,57.00,1.00
https://www.youtube.com/channel/UCgK45_8vM6bMxtEiVBEsS8A,水影凪 ルカ / Mikanagi Ruka,40800,3,1765.33,0.00,0,0.00,0.00,1,19.00,0.00
https://www.youtube.com/channel/UCiPB0TL3aE9i8E5SrVbCqTg,なでしこ大和【VR・ARレビュー】,40400,2,1541.00,6.00,0,0.00,0.00,0,0.00,0.00
https://www.youtube.com/channel/UCxSJP2WWP_CKuayijH2lWfw,白亜マウルの古生物学チャンネル,40300,1,370.00,1.00,0,0.00,0.00,0,0.00,0.00
https://www.youtube.com/channel/UCWwMi0esTLPWkdH3ddOehQA,ふにちかチャンネル,40100,3,190.67,0.67,0,0.00,0.00,0,0.00,0.00
https://www.youtube.com/channel/UC6F7hrBmMzfIbN3CSXL_21g,旋律 ギン / Senritsu Gin,40100,3,1575.33,46.33,0,0.00,0.00,0,0.00,0.00
https://www.youtube.com/channel/UCs5ojCJFNXaBgUrGmarvrPQ,Chau Ch.雪兎ちゃう,40100,5,9902.40,19.80,1,694.00,29.00,2,403.50,17.50
https://www.youtube.com/channel/UChq9ybV-EPcRMwBvnOKpu4Q,ちゃんねるサーヤ,39500,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
https://www.youtube.com/channel/UCZtjTxFDan4ORyt1x6oQ6qA,茶々プラムム / Pulamumu,39500,6,565.33,12.50,2,60.00,18.50,4,66.00,20.75
https://www.youtube.com/channel/UCv0hpsgpGWYdBsotEA3_5fQ,あかつき るき / Akatsuki Luci,39200,4,1953.50,8.00,0,0.00,0.00,0,0.00,0.00
https://www.youtube.com/@Ren_Kohaku/featured,恋白れん / RenKohaku Ch.,36400,4,2003.00,9.75,1,245.00,9.00,4,179.00,6.50
https://www.youtube.com/channel/UCIbaYUBG8e7j_uq6_T2XM8g,汐音ベリーちゃん Berry Ch,38600,6,5564.83,6.83,1,50.00,14.00,2,55.50,11.50
https://www.youtube.com/channel/UCDzU0tMHSfye9UtwFXgI-UQ,*Surai Mumu ASMR*透来むむ,39100,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
https://www.youtube.com/channel/UCkGiDxmJVfORwnm4kwEEt1Q,Jun Ch.千堂じゅん,38400,2,1645.00,5.00,4,10.00,1.25,9,13.89,0.89
https://www.youtube.com/channel/UClHap4tvcYZnyiqgAyEs0BQ,ふぇりしあ / Felicia Ch,38400,3,2356.00,53.67,2,121.00,16.50,12,249.75,26.50
https://www.youtube.com/channel/UCSmRCFH6iy1uvoXJbLwxMHg,KOOLEs - クールエス,38300,6,9563.00,10.50,1,21.00,0.00,4,31.00,0.25
https://www.youtube.com/channel/UCMyvP0GM_l4khRYDZ5eKvxA,星影ラピス / 使い魔メァ,38100,6,498.33,3.00,1,59.00,2.00,3,94.00,1.00
https://www.youtube.com/channel/UCiJUQctXBFIEhatvI74b7Xg,Sakura Ch. 望月さくら,38200,4,1333.50,9.25,16,6.06,4.25,36,6.86,4.47
https://www.youtube.com/channel/UC4lzge5QxIzHZ5UR2mxg7BQ,猫仙人 / Mashen ch.,38000,3,10719.33,8.67,1,3.00,1.00,4,31.00,0.25
https://www.youtube.com/channel/UC7b4GklPQO9ZnV7mqnJzN8g,羽天ひより-UtenHiyori,37800,2,645.50,8.50,1,31.00,4.00,2,33.50,4.00
https://www.youtube.com/channel/UCg_xsJxJNVmAdMwXIvPNmTA,甜瓜あん -Tenka An-,37700,4,566.25,2.75,5,18.80,3.60,16,25.88,3.38
https://www.youtube.com/channel/UCZwsOhl_T0k2Sgf7S3JReNQ,音琴かなみ Kanami ch. ,37300,3,846.00,5.67,2,44.00,8.00,3,35.67,9.33
